IDprocess|Date|Mark|Clicode|Reason1|Reason1More
2624232|2023-08-03 09:44:28|5|470074693|Срок поставки|Срыв сроков поставки от поставщика
2624957|2023-08-03 12:09:12|5|100134145|Комплектация заказа|Возврат/брак
2624996|2023-08-03 12:16:49|5|100259982|Комплектация заказа|Пересорт, некомплект
2625001|2023-08-03 12:17:13|4|90120754|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2625203|2023-08-03 13:15:45|5|60032646|Организация сервиса при доставке|Срыв сроков доставки
2626337|2023-08-03 18:48:39|5|100161329|Срок поставки|Срыв сроков поставки от поставщика
2626420|2023-08-03 20:44:23|1|100036042|Срок поставки|Срыв сроков поставки от поставщика
2626928|2023-08-04 09:06:59|1|330172110|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2627005|2023-08-04 09:20:06|5|30004811|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2627302|2023-08-04 10:11:46|5|470059044|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2627409|2023-08-04 10:32:48|1|820122706|Организация сервиса при самовывозе|Скорость обслуживания
2627952|2023-08-04 12:53:03|1|60580054|Организация сервиса при самовывозе|Скорость обслуживания
2627989|2023-08-04 13:03:24|5|36151174|Организация сервиса при доставке|Срыв сроков доставки
2628026|2023-08-04 13:12:25|1|90123112|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2628055|2023-08-04 13:21:05|5|650000712|Срок поставки|Срыв сроков поставки от поставщика
2628220|2023-08-04 14:17:15|5|160332104|Цена|Невозможность выписки по предложенной цене
2628651|2023-08-04 16:43:52|4|100044502|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2628766|2023-08-04 19:55:56|1|440183707|Организация сервиса при самовывозе|Скорость обслуживания
2628982|2023-08-05 13:36:46|5|9075442|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2629024|2023-08-05 15:11:14|5|100195155|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2629121|2023-08-05 20:51:55|5|440133920|Комплектация заказа|Пересорт, некомплект
2629169|2023-08-06 07:21:16|5|23016831|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2630052|2023-08-07 09:42:52|5|160286291|Организация сервиса при самовывозе|Отказ в помощи при погрузке, отказ в обслуживании
2630062|2023-08-07 09:44:34|3|36203542|Срок поставки|Срыв сроков поставки от поставщика
2630088|2023-08-07 09:49:00|5|630000141|Комплектация заказа|Пересорт, некомплект
2630212|2023-08-07 10:14:04|1|36203542|Комплектация заказа|Пересорт, некомплект
2630251|2023-08-07 10:20:25|1|290000149|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2630388|2023-08-07 10:44:47|5|100333739|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2631533|2023-08-07 14:47:35|5|36158042|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2631913|2023-08-07 16:09:54|1|140041031|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2632116|2023-08-07 17:31:04|5|620001507|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2632204|2023-08-07 18:52:03|5|100372560|Организация сервиса при самовывозе|Скорость обслуживания
2632227|2023-08-07 19:52:50|1|100072780|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2632311|2023-08-07 23:06:24|2|1321979|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2632606|2023-08-08 08:48:27|5|128501|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2632806|2023-08-08 09:39:57|5|90010716|Комплектация заказа|Возврат/брак
2632958|2023-08-08 10:08:11|5|140042221|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2633195|2023-08-08 10:57:09|2|100293927|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2633530|2023-08-08 12:03:33|2|60048961|Организация сервиса при доставке|Срыв сроков доставки
2633668|2023-08-08 12:38:28|5|60000641|Срок поставки|Срыв сроков поставки от поставщика
2633781|2023-08-08 13:04:45|5|90124240|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2634376|2023-08-08 15:26:33|5|9082914|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2635249|2023-08-09 08:09:29|5|1513177|Комплектация заказа|Пересорт, некомплект
2635343|2023-08-09 08:45:46|1|23042518|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2635584|2023-08-09 09:48:01|5|23014648|Комплектация заказа|Пересорт, некомплект
2635737|2023-08-09 10:16:43|5|160210752|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2635814|2023-08-09 10:34:25|5|160008233|Комплектация заказа|Возврат/брак
2636074|2023-08-09 11:35:33|1|1530327|Комплектация заказа|Возврат/брак
2636093|2023-08-09 11:42:34|5|60222293|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2636239|2023-08-09 12:18:32|2|36158678|Организация сервиса при доставке|Срыв сроков доставки
2636256|2023-08-09 12:22:40|3|160357084|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2636341|2023-08-09 12:46:22|5|330277643|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2636898|2023-08-09 15:11:28|3|100160123|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2636899|2023-08-09 15:11:34|5|90082108|Комплектация заказа|Пересорт, некомплект
2637040|2023-08-09 15:40:48|1|36116951|Сервис iPRO (сайт, мобильное приложение)|Корректность технической информации
2637163|2023-08-09 16:19:30|3|440070763|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2637229|2023-08-09 16:44:12|5|22231467|Комплектация заказа|Жалобы на КПП (куски)
2637260|2023-08-09 16:52:05|1|440083639|Организация сервиса при доставке|Срыв сроков доставки
2637345|2023-08-09 17:24:55|4|160272284|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2637675|2023-08-10 06:23:42|1|70015509|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2637712|2023-08-10 07:04:32|3|180004526|Корректность документооборота|Некорректное оформление документов
2637871|2023-08-10 08:24:32|4|60030690|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2637946|2023-08-10 08:44:26|1|60017524|Организация сервиса при доставке|Срыв сроков доставки
2638296|2023-08-10 10:05:07|4|100234758|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2638383|2023-08-10 10:22:48|1|160206400|Комплектация заказа|Нужного товара нет в наличии на складе
2638431|2023-08-10 10:33:37|5|440191340|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2638840|2023-08-10 11:46:37|4|330211553|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2638849|2023-08-10 11:48:29|5|330208918|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2639643|2023-08-10 14:40:53|1|440140191|Комплектация заказа|Пересорт, некомплект
2639660|2023-08-10 14:46:21|1|36141149|Комплектация заказа|Пересорт, некомплект
2639830|2023-08-10 15:20:13|1|290000149|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2639880|2023-08-10 15:30:58|5|62232766|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2640467|2023-08-10 19:44:55|5|90125367|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2640473|2023-08-10 20:03:11|5|440148227|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2640524|2023-08-10 22:29:43|5|90123516|Организация сервиса при доставке|Срыв сроков доставки
2640645|2023-08-11 07:14:31|5|90045051|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2640764|2023-08-11 08:25:11|3|330062649|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2641052|2023-08-11 09:40:33|4|9115651|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2641088|2023-08-11 09:52:04|2|90003879|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2641537|2023-08-11 11:34:34|4|87171402|Срок поставки|Срыв сроков поставки от поставщика
2641698|2023-08-11 12:15:00|1|90070213|Срок поставки|Срыв сроков поставки от поставщика
2641986|2023-08-11 13:18:50|3|690030786|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2642034|2023-08-11 13:29:02|1|330107585|Организация сервиса при самовывозе|Скорость обслуживания
2642067|2023-08-11 13:39:38|5|1321979|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2642119|2023-08-11 13:56:25|2|60107539|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2642126|2023-08-11 14:00:30|5|160235139|Комплектация заказа|Возврат/брак
2642410|2023-08-11 15:19:10|3|60039436|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2642413|2023-08-11 15:20:21|5|440185568|Срок поставки|Срыв сроков поставки от поставщика
2642700|2023-08-11 17:57:17|5|55103211|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2642947|2023-08-12 14:44:46|4|87211741|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2642961|2023-08-12 15:22:06|4|90058203|Комплектация заказа|Пересорт, некомплект
2642982|2023-08-12 17:09:14|1|160298277|Комплектация заказа|Нужного товара нет в наличии на складе
2643274|2023-08-13 17:58:06|5|60181096|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2643284|2023-08-13 18:57:22|5|100114273|Комплектация заказа|Возврат/брак
2643382|2023-08-13 22:55:24|3|9088133|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2644057|2023-08-14 10:14:32|5|87216578|Работа персонала ЭТМ|Заменить закрепленного менеджера
2644192|2023-08-14 10:34:26|4|330296741|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2645636|2023-08-14 15:56:46|5|60077569|Комплектация заказа|Пересорт, некомплект
2645811|2023-08-14 16:59:53|5|140041031|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2646113|2023-08-14 22:46:52|5|55114098|Работа персонала ЭТМ|Другое
2646278|2023-08-15 07:26:54|3|36155072|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2646338|2023-08-15 07:56:43|2|330277643|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2646578|2023-08-15 09:28:13|5|820026255|Комплектация заказа|Нужного товара нет в наличии на складе
2646719|2023-08-15 10:02:05|1|100024867|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2647038|2023-08-15 10:57:38|5|70015509|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2647745|2023-08-15 13:36:16|4|9176343|Комплектация заказа|Возврат/брак
2647813|2023-08-15 14:00:28|1|820182057|Комплектация заказа|Жалобы на КПП (куски)
2648168|2023-08-15 15:23:48|1|36203542|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2648171|2023-08-15 15:25:26|5|55114913|Срок поставки|Срыв сроков поставки от поставщика
2648509|2023-08-15 16:20:15|1|9074057|Организация сервиса при самовывозе|Скорость обслуживания
2648521|2023-08-15 16:24:33|1|160337946|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2648736|2023-08-15 17:39:40|5|330064823|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2648801|2023-08-15 18:11:19|5|160015637|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2648886|2023-08-15 20:58:12|5|440156404|Комплектация заказа|Возврат/брак
2648895|2023-08-15 21:09:31|5|440185225|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2649290|2023-08-16 08:53:31|1|440013963|Организация сервиса при самовывозе|Скорость обслуживания
2649455|2023-08-16 09:26:49|4|36177372|Корректность документооборота|Некорректное оформление документов
2649529|2023-08-16 09:41:23|3|60199525|Срок поставки|Срыв сроков поставки от поставщика
2649745|2023-08-16 10:18:10|2|330154074|Срок поставки|Срыв сроков поставки от поставщика
2649984|2023-08-16 11:04:41|5|60054623|Срок поставки|Срыв сроков поставки от поставщика
2650232|2023-08-16 11:56:58|1|440175229|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2650276|2023-08-16 12:10:13|5|1522179|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2650801|2023-08-16 14:21:23|5|140031219|Сервис iPRO (сайт, мобильное приложение)|Корректность технической информации
2651067|2023-08-16 15:14:30|1|90125793|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2651452|2023-08-16 17:06:55|1|820040578|Срок поставки|Срыв сроков поставки от поставщика
2651644|2023-08-16 20:18:25|4|55112517|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2651992|2023-08-17 08:18:46|1|160006819|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2652047|2023-08-17 08:45:49|5|55121581|Организация сервиса при самовывозе|Скорость обслуживания
2652227|2023-08-17 09:18:57|4|160215201|Комплектация заказа|Пересорт, некомплект
2652338|2023-08-17 09:44:36|5|100226385|Комплектация заказа|Возврат/брак
2652899|2023-08-17 11:39:29|1|440187084|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2652939|2023-08-17 11:51:35|5|60033489|Комплектация заказа|Пересорт, некомплект
2653086|2023-08-17 12:48:03|5|140018546|Комплектация заказа|Возврат/брак
2653408|2023-08-17 14:17:42|5|100211641|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2653710|2023-08-17 15:33:29|5|100219345|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2653730|2023-08-17 15:40:47|1|1633575|Комплектация заказа|Пересорт, некомплект
2653874|2023-08-17 16:22:35|2|81129206|Организация сервиса при доставке|Срыв сроков доставки
2653998|2023-08-17 17:00:28|1|440150604|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2654121|2023-08-17 18:07:30|5|100024867|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2654275|2023-08-18 03:41:27|4|100160123|Комплектация заказа|Пересорт, некомплект
2654452|2023-08-18 08:18:50|5|1580133|Срок поставки|Срыв сроков поставки от поставщика
2655419|2023-08-18 12:02:38|5|100302595|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2655441|2023-08-18 12:08:02|5|640001275|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2656079|2023-08-18 15:31:02|4|330041989|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2656259|2023-08-18 16:33:16|4|140084327|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2656330|2023-08-18 17:47:43|5|60212163|Организация сервиса при самовывозе|Скорость обслуживания
2656520|2023-08-19 10:34:08|5|90123700|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2656535|2023-08-19 11:08:28|5|60193118|Организация сервиса при доставке|Срыв сроков доставки
2656615|2023-08-19 14:06:34|5|160347395|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2656781|2023-08-19 21:30:02|5|160145320|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2656813|2023-08-19 23:27:46|5|470072796|Организация сервиса при самовывозе|Скорость обслуживания
2656879|2023-08-20 10:48:06|4|90049963|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2657141|2023-08-20 19:41:20|5|100119892|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2657621|2023-08-21 09:06:25|5|1521580|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2658060|2023-08-21 10:28:59|1|160291168|Цена|Невозможность выписки по предложенной цене
2658067|2023-08-21 10:32:40|1|160082816|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2658117|2023-08-21 10:42:10|5|9140197|Комплектация заказа|Другое
2658611|2023-08-21 12:15:12|4|9193820|Срок поставки|Срыв сроков поставки от поставщика
2659070|2023-08-21 13:55:59|5|440117242|Комплектация заказа|Пересорт, некомплект
2659242|2023-08-21 14:33:16|5|330103515|Комплектация заказа|Возврат/брак
2659341|2023-08-21 14:54:33|3|36153341|Комплектация заказа|Нужного товара нет в наличии на складе
2659745|2023-08-21 16:30:07|5|330180982|Сервис iPRO (сайт, мобильное приложение)|Корректность технической информации
2660098|2023-08-21 20:53:54|5|160134709|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2660127|2023-08-21 21:52:47|5|1509114|Организация сервиса при самовывозе|Скорость обслуживания
2660196|2023-08-22 04:26:19|4|55090988|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2660270|2023-08-22 08:24:43|5|36163413|Комплектация заказа|Возврат/брак
2660308|2023-08-22 08:43:36|5|330203810|Комплектация заказа|Пересорт, некомплект
2661037|2023-08-22 11:44:55|5|440117242|Комплектация заказа|Возврат/брак
2662513|2023-08-22 15:05:43|4|55065212|Комплектация заказа|Возврат/брак
2662515|2023-08-22 15:06:10|4|1406025|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2662713|2023-08-22 15:31:22|5|90128687|Организация сервиса при доставке|Другое
2663041|2023-08-22 16:18:10|5|330130791|Организация сервиса при доставке|Срыв сроков доставки
2663624|2023-08-22 18:18:51|5|69999473|Организация сервиса при доставке|Срыв сроков доставки
2663685|2023-08-22 19:51:08|4|90123893|Комплектация заказа|Качество внешнего вида полученного товара (заводской упаковки и/или упаковки ЭТМ, наклейки, скотч и пр.)
2664051|2023-08-23 08:03:01|4|87172008|Комплектация заказа|Возврат/брак
2665181|2023-08-23 10:07:48|5|60004392|Комплектация заказа|Пересорт, некомплект
2665917|2023-08-23 11:04:14|5|87167614|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2666386|2023-08-23 12:10:20|3|160278138|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2667235|2023-08-23 14:28:24|5|440024793|Комплектация заказа|Пересорт, некомплект
2668253|2023-08-23 18:52:43|1|440151305|Организация сервиса при самовывозе|Скорость обслуживания
2668337|2023-08-23 21:24:30|5|60032359|Корректность документооборота|Другое
2668502|2023-08-24 07:25:38|5|1340641|Организация сервиса при самовывозе|Скорость обслуживания
2668675|2023-08-24 08:39:30|4|22441454|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2669060|2023-08-24 09:55:39|1|90062283|Комплектация заказа|Возврат/брак
2669700|2023-08-24 11:31:20|5|60169342|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2670015|2023-08-24 12:15:12|5|1439081|Комплектация заказа|Другое
2670092|2023-08-24 12:27:00|4|1409984|Организация сервиса при самовывозе|Скорость обслуживания
2670579|2023-08-24 14:00:48|4|55094501|Комплектация заказа|Пересорт, некомплект
2670584|2023-08-24 14:01:44|1|1463682|Организация сервиса при доставке|Срыв сроков доставки
2671001|2023-08-24 15:25:25|5|820078222|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2671551|2023-08-24 20:57:23|5|60147544|Комплектация заказа|Пересорт, некомплект
2671559|2023-08-24 21:13:33|2|9185069|Срок поставки|Срыв сроков поставки от поставщика
2671816|2023-08-25 08:06:46|1|60010209|Организация сервиса при доставке|Срыв сроков доставки
2671853|2023-08-25 08:20:14|5|820076519|Комплектация заказа|Нужного товара нет в наличии на складе
2672029|2023-08-25 09:16:26|5|440078840|Комплектация заказа|Нужного товара нет в наличии на складе
2672040|2023-08-25 09:17:26|1|1413120|Организация сервиса при самовывозе|Скорость обслуживания
2672079|2023-08-25 09:27:08|2|87221670|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2672138|2023-08-25 09:38:59|4|160364120|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2672154|2023-08-25 09:42:15|5|90104827|Срок поставки|Срыв сроков поставки от поставщика
2672912|2023-08-25 11:50:16|1|160271481|Организация сервиса при доставке|Удобство сервиса доставки
2673039|2023-08-25 12:06:39|4|60569148|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2673222|2023-08-25 12:36:53|1|87214296|Срок поставки|Срыв сроков поставки от поставщика
2674078|2023-08-25 16:33:49|5|55022830|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2674226|2023-08-25 20:29:18|5|1320347|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2674326|2023-08-26 09:59:16|1|100224474|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2674327|2023-08-26 10:01:49|5|90048513|Комплектация заказа|Нужного товара нет в наличии на складе
2674372|2023-08-26 11:34:10|4|100081955|Организация сервиса при самовывозе|Скорость обслуживания
2674385|2023-08-26 12:12:12|1|440195422|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2674418|2023-08-26 13:33:27|5|78096|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2674801|2023-08-27 16:17:39|5|90042540|Комплектация заказа|Пересорт, некомплект
2674893|2023-08-27 20:40:11|4|160366945|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2674929|2023-08-27 22:27:06|5|55110302|Корректность документооборота|Некорректное оформление документов
2675010|2023-08-28 05:31:50|5|100009523|Организация сервиса при самовывозе|Скорость обслуживания
2675364|2023-08-28 09:08:25|5|60178483|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2676044|2023-08-28 10:41:19|2|330006440|Организация сервиса при доставке|Срыв сроков доставки
2676367|2023-08-28 11:24:20|4|90131307|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2676537|2023-08-28 11:50:05|5|160001495|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2676858|2023-08-28 12:33:38|4|330134507|Корректность документооборота|Некорректное оформление документов
2677584|2023-08-28 14:15:18|5|330050307|Корректность документооборота|Некорректное оформление документов
2677691|2023-08-28 14:29:22|1|440019302|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2678536|2023-08-28 16:25:59|5|440193543|Комплектация заказа|Возврат/брак
2679651|2023-08-29 09:46:43|5|60044084|Организация сервиса при самовывозе|Скорость обслуживания
2680352|2023-08-29 11:56:32|4|160263962|Комплектация заказа|Возврат/брак
2680377|2023-08-29 12:01:49|4|60171897|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2680424|2023-08-29 12:10:17|4|90126533|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2680580|2023-08-29 12:42:11|5|1456052|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2680794|2023-08-29 13:16:24|1|36103920|Срок поставки|Срыв сроков поставки от поставщика
2681251|2023-08-29 14:47:44|5|1353929|Цена|Невозможность выписки по предложенной цене
2681333|2023-08-29 15:00:19|5|90130038|Комплектация заказа|Возврат/брак
2681484|2023-08-29 15:29:33|3|69999473|Организация сервиса при доставке|Срыв сроков доставки
2681604|2023-08-29 15:53:17|4|87221670|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2682148|2023-08-29 17:27:24|5|90131305|Комплектация заказа|Пересорт, некомплект
2682429|2023-08-30 01:45:03|5|78096|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2682533|2023-08-30 06:43:37|5|440172713|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2682619|2023-08-30 07:59:13|3|180001182|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2682681|2023-08-30 08:33:16|4|36113613|Комплектация заказа|Пересорт, некомплект
2682782|2023-08-30 08:57:14|3|440131456|Комплектация заказа|Пересорт, некомплект
2682849|2023-08-30 09:18:29|5|440196355|Организация сервиса при доставке|Срыв сроков доставки
2683204|2023-08-30 10:25:05|4|160263962|Комплектация заказа|Возврат/брак
2683400|2023-08-30 11:00:37|5|1389975|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2683732|2023-08-30 12:10:59|5|90043885|Организация сервиса при самовывозе|Скорость обслуживания
2683784|2023-08-30 12:26:48|1|60199843|Комплектация заказа|Пересорт, некомплект
2683803|2023-08-30 12:29:25|3|470025635|Цена|Невозможность выписки по предложенной цене
2683984|2023-08-30 13:11:41|4|90126533|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2684213|2023-08-30 14:13:06|3|60168362|Организация сервиса при доставке|Срыв сроков доставки
2684678|2023-08-30 16:06:00|3|90129780|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2685387|2023-08-31 07:25:57|5|140041031|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2685496|2023-08-31 08:30:35|5|330311890|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2685609|2023-08-31 09:14:02|2|55096424|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2685748|2023-08-31 09:40:58|5|100279391|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2686510|2023-08-31 12:12:24|3|820035373|Организация сервиса при доставке|Срыв сроков доставки
2686838|2023-08-31 13:29:31|5|87258042|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2687026|2023-08-31 14:15:16|5|36110590|Комплектация заказа|Возврат/брак
